date,cpi,access_date
2015-01-01,115.1,2021-05-01
2015-02-01,105.7,2021-05-01
2015-03-01,106.1,2021-05-01
2015-04-01,93.9,2021-05-01
2015-05-01,113.1,2021-05-01
2015-06-01,96.8,2021-05-01
2015-07-01,125.2,2021-05-01
2015-08-01,108.6,2021-05-01
2015-09-01,115.6,2021-05-01
2015-10-01,109.1,2021-05-01
2015-11-01,106.7,2021-05-01
2015-12-01,101.3,2021-05-01
2016-01-01,93.2,2021-05-01
2016-02-01,108.5,2021-05-01
2016-03-01,100.1,2021-05-01
2016-04-01,98.7,2021-05-01
2016-05-01,99.6,2021-05-01
2016-06-01,108.5,2021-05-01
2016-07-01,102.9,2021-05-01
2016-08-01,113.1,2021-05-01
2016-09-01,109.1,2021-05-01
2016-10-01,102.7,2021-05-01
2016-11-01,104.6,2021-05-01
2016-12-01,91.6,2021-05-01
2017-01-01,92.5,2021-05-01
2017-02-01,104.8,2021-05-01
2017-03-01,103.2,2021-05-01
2017-04-01,118.4,2021-05-01
2017-05-01,101.8,2021-05-01
2017-06-01,86.4,2021-05-01
2017-07-01,119,2021-05-01
2017-08-01,107.4,2021-05-01
2017-09-01,107,2021-05-01
2017-10-01,104.4,2021-05-01
2017-11-01,104.5,2021-05-01
2017-12-01,93.1,2021-05-01
2018-01-01,96.1,2021-05-01
2018-02-01,110.1,2021-05-01
2018-03-01,101.2,2021-05-01
2018-04-01,103.3,2021-05-01
2018-05-01,105.9,2021-05-01
2018-06-01,99.2,2021-05-01
2018-07-01,120.3,2021-05-01
2018-08-01,108.8,2021-05-01
2018-09-01,82.7,2021-05-01
2018-10-01,106,2021-05-01
2018-11-01,104.8,2021-05-01
2018-12-01,94.9,2021-05-01
2019-01-01,97.1,2021-05-01
2019-02-01,101.9,2021-05-01
2019-03-01,108.1,2021-05-01
2019-04-01,96.1,2021-05-01
2019-05-01,77.3,2021-05-01
2019-06-01,109.3,2021-05-01
2019-07-01,120.3,2021-05-01
2019-08-01,105.9,2021-05-01
2019-09-01,102.3,2021-05-01
2019-10-01,89.8,2021-05-01
2019-11-01,110.4,2021-05-01
2019-12-01,92.5,2021-05-01
2020-01-01,103.9,2021-05-01
2020-02-01,102,2021-05-01
2020-03-01,104.6,2021-05-01
2020-04-01,106,2021-05-01
2020-05-01,111.3,2021-05-01
2020-06-01,105.9,2021-05-01
2020-07-01,109.5,2021-05-01
2020-08-01,106,2021-05-01
2020-09-01,105,2021-05-01
2020-10-01,94.1,2021-05-01
2020-11-01,106.7,2021-05-01
2020-12-01,101.3,2021-05-01
2021-01-01,107.1,2021-05-01
2021-02-01,108,2021-05-01
2021-03-01,106.3,2021-05-01
2021-04-01,112.6,2021-05-01
2021-05-01,101.4,2021-05-01
2021-06-01,111.6,2021-05-01
2021-07-01,129.8,2021-05-01
2021-08-01,103,2021-05-01
2021-09-01,100,2021-05-01
2021-10-01,103.8,2021-05-01
2021-11-01,107,2021-05-01
2021-12-01,91.1,2021-05-01
2022-01-01,109,2021-05-01
2022-02-01,106.9,2021-05-01
2022-03-01,105.3,2021-05-01
2022-04-01,100.5,2021-05-01
2022-05-01,103.8,2021-05-01
2022-06-01,109,2021-05-01
2022-07-01,120.6,2021-05-01
2022-08-01,104.9,2021-05-01
2022-09-01,120,2021-05-01
2022-10-01,107.3,2021-05-01
2022-11-01,108.2,2021-05-01
2022-12-01,90.7,2021-05-01
2023-01-01,103.1,2021-05-01
2023-02-01,102,2021-05-01
2023-03-01,107.4,2021-05-01
2023-04-01,95.8,2021-05-01
2023-05-01,96.2,2021-05-01
2023-06-01,95.4,2021-05-01
2023-07-01,117.9,2021-05-01
2023-08-01,97.2,2021-05-01
2023-09-01,101.5,2021-05-01
2023-10-01,106.8,2021-05-01
2023-11-01,107.5,2021-05-01
2023-12-01,95.3,2021-05-01
2024-01-01,108.6,2021-05-01
2024-02-01,107.3,2021-05-01
2024-03-01,108.1,2021-05-01
2024-04-01,107.6,2021-05-01
2024-05-01,96.9,2021-05-01
2024-06-01,94.8,2021-05-01
2024-07-01,124.5,2021-05-01
2024-08-01,113.8,2021-05-01
2024-09-01,95.3,2021-05-01
2024-10-01,110.6,2021-05-01
2024-11-01,107.9,2021-05-01
2024-12-01,101.5,2021-05-01
2025-01-01,101.1,2021-05-01
2025-02-01,105.6,2021-05-01
2025-03-01,94.6,2021-05-01
2025-04-01,108.1,2021-05-01
2025-05-01,108.4,2021-05-01
2025-06-01,104.6,2021-05-01
2025-07-01,125.1,2021-05-01
2025-08-01,110.4,2021-05-01
2025-09-01,107.4,2021-05-01
2025-10-01,99.1,2021-05-01
2025-11-01,107,2021-05-01
2025-12-01,100.9,2021-05-01
2026-01-01,100.8,2021-05-01
