date,cpi,access_date
2017 апр,100.33,2019-12-11
2017 май,100.37,2019-12-11
2017 июн,100.61,2019-12-11
2017 июл,100.07,2019-12-11
2017 авг,99.46,2019-12-11
2017 сен,99.85,2019-12-11
2017 окт,100.2,2019-12-11
2017 ноя,100.22,2019-12-11
2017 дек,100.42,2019-12-11
2018 янв,100.31,2019-12-11
2018 фев,100.21,2019-12-11
2018 мар,100.29,2019-12-11
2018 апр,100.38,2019-12-11
2018 май,100.38,2019-12-11
2018 июн,100.49,2019-12-11
2018 июл,100.27,2019-12-11
2018 авг,100.01,2019-12-11
2018 сен,100.16,2019-12-11
2018 окт,100.35,2019-12-11
2018 ноя,100.5,2019-12-11
2018 дек,100.84,2019-12-11
2019 янв,101.01,2019-12-11
2019 фев,100.44,2019-12-11
2019 мар,100.32,2019-12-11
2019 апр,100.29,2019-12-11
2019 май,100.34,2019-12-11
2019 июн,100.04,2019-12-11
2019 июл,100.2,2019-12-11
2019 авг,99.76,2019-12-11
2019 сен,99.84,2019-12-11
2019 окт,100.13,2019-12-11
2019 ноя,100.28,2019-12-11
